Opened PDF: d:\coreminds\parsing\pdf-parser-python\uploads\c1f6f5ec-a39d-4a08-a68b-94274cba938c_PL-300-khhiih.pdf
Pages: 528

--- Page 4 ---
  get_images(full=True) count: 1051
    Image 210: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 211: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 212: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 213: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 214: xref=1452, w=834, h=222, ext=jpeg, size=12798 bytes
    Image 215: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 216: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 217: xref=1455, w=130, h=123, ext=jpeg, size=2321 bytes
    Image 218: xref=1456, w=996, h=252, ext=jpeg, size=9126 bytes
    Image 219: xref=1457, w=836, h=92, ext=jpeg, size=4645 bytes
    Image 220: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 221: xref=1459, w=1273, h=784, ext=jpeg, size=106010 bytes
    Image 222: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 223: xref=1461, w=1428, h=1024, ext=jpeg, size=193987 bytes
    Image 224: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 225: xref=1119, w=860, h=175, ext=jpeg, size=14759 bytes
    Image 226: xref=1120, w=685, h=206, ext=jpeg, size=21807 bytes
    Image 227: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 228: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 229: xref=1459, w=1273, h=784, ext=jpeg, size=106010 bytes
    Image 230: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 231: xref=1461, w=1428, h=1024, ext=jpeg, size=193987 bytes
    Image 232: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 233: xref=1466, w=1125, h=668, ext=jpeg, size=57404 bytes
    Image 234: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 235: xref=1468, w=624, h=370, ext=jpeg, size=19711 bytes
    Image 236: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 237: xref=1459, w=1273, h=784, ext=jpeg, size=106010 bytes
    Image 238: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 239: xref=1461, w=1428, h=1024, ext=jpeg, size=193987 bytes
